youtube_id,source,title
cA5-a1MdkpU,channel,"14-Jun-26 | Dr. Subhankar Ghosh, CEO Graham Stains Ministry | Sunday Service | Apo AS Ranjith Ophir"
8fOHevd66h4,channel,Yehova Na Kapari.... యెహోవా నా కాపరి .....Song by Ashrit | Apo Dr. Addanki Ranjith Ophir
enULurGbDKg,channel,Yemi Dhachagalanu Na Prabhuvaa.... ఏమి దాచగలను నా ప్రభువా....song by Rithika
kCyIyUrAQXc,channel,11-Jun-26 | Mrs. Suvani John Prakash 70th Birthday Celebrations
8GPoCR1IUEY,channel,11-Jun-26 | Mrs. Suvani John Prakash 70th Birthday Celebrations
i-PMo-zX4kE,channel,11-Jun-26 | Mrs. Suvani John Prakash 70th Birthday Celebrations
FaP-mG_J8es,channel,10-Jun-26 | Gruhapravesam  | Apostle Dr. AS Ranjith Ophir
kmnhOti6wvg,channel,కేజీ బాలకృష్ణన్ కమిషన్‌కు లక్ష సంతకాల వినతిపత్రం సమర్పించాక ప్రెస్ తో దేశభక్త డా. రంజిత్ ఓఫిర్ గారు
1mxki4mAzso,channel,10-Jun-26 | Gruhapravesam  | Apostle Dr. AS Ranjith Ophir
0uQgzz2ZFOU,channel,07-Jun-26 | Sunday Service | Second Message | Central Church | Apostle Dr. AS Ranjith Ophir
cEAHrhzvrpA,channel,07-Jun-26 | Sunday Service | First Message | Central Church | Apostle Dr. AS Ranjith Ophir
W0hszIhnLDA,channel,07-Jun-26 | Sunday Service | First Message | Central Church | Apostle Dr. AS Ranjith Ophir
IxSfG2K99qY,channel,Ninu Mathrame ne Nammanayya | Song by Ashrith & Anugna
pYDj__bb0J0,channel,#ksmlive : 276 l Ksheerasagara Madhanam | Q&A | Apo. Ranjith Ophir | Maark Babu | 06-06-26
m4rEQ06Pj6s,channel,06-Jun-2026 | Agape Bible Fair | ACE Club | AFGC Nizampet
BSKFdPwsbec,channel,27-05-2026 | సత్యసువార్త మహాసభ | శంకర్ పల్లి | Apostle Dr A S Ranjeet Ophir
L3AIo4twQuQ,channel,దైవ ప్రణాళికకు అడ్డుపడుతున్న మూర్ఖతరం!! | Spiritual Warfare Series | Apostle Dr Ophir | 02-Jun-2026
YUile-cVOQI,channel,30-05-2026 | Message by Apo Dr.Ranjith Ophir @Bible Mission - Gooty |  మహిమ సువార్త మహాసభలు
k4rUS-J5hAc,channel,29-05-2026 | Message by Apo Dr.Ranjith Ophir @Bible Mission - Gooty | సంగీత మహోత్సవములు Day 3
uzC2F2qsTm0,channel,31-05-2026 | M.Laxman & Sujatha | Silver Jubilee Celebrations | AFGC Nizampet
UlDAIbtf2Sc,channel,31-05-2026 | Sunday Service | First Message | Central Church | Apostle Dr. AS Ranjith Ophir
l1VBE3M0CkU,channel,31-05-2026 | Sunday Service | Second Message | Central Church | Apostle Dr. AS Ranjith Ophir
8LdmLfbpKfI,channel,"Aashcharya Karuda Athi Balavanthuda | Song By Apo Dr. Ranjith Ophir @Bible  Mission,Gooty | 29-05-26"
qZ-p9BBggNw,channel,30-5-2026 | దైవశక్తి ప్రార్థన కార్యక్రమము | Bible Mission Gooty | Apo A S Ranjith Ophir
0YN_gSfq1lk,channel,"29-5-2026  సంగీత మహోత్సవములు Day 3 బైబిలు మిషను,గుత్తి | Bible Mission Gooty | Apo A S Ranjith Ophir"
tIbjMYYvr-A,channel,27-05-2026 | సత్యా సువార్త మహాసభ | శంకరపల్లి
ErNSbg6BD6s,channel,27-05-2026 Testing Video
51WCg8U1jmg,channel,26-May-2026 | ARUN KUMAR  Weds  ADWAITHA Wedding  Ceremony | Apostle Dr AS Ranjeet Ophir
NGYdja9GJ-o,channel,అసలైన ప్రార్థనాపరులు!! | Spiritual Warfare Series | Apo Dr Ranjeet Ophir | 25-May-2026
l43gJAmRduM,channel,24-05-26 | Sunday Service | Second Message | Central Church | Apostle Dr. AS Ranjith Ophir
7aadpZqxd14,channel,24-05-26 Sunday Service | First Message | Malkajgiri Church | Apostle Dr AS Ranjith
pK34X7WSkdE,channel,24-05-26 | Sunday Service | Second Message | Central Church | Apostle Dr. AS Ranjith Ophir
KTnoAlbeD-w,channel,#ksmlive : 274 | Ksheerasagara Madhanam | Q&A | Apo. Ranjith Ophir | Maark Babu | 23-05-26
p7_7CzmL0AY,channel,ఓటమి యెరుగని ప్రార్థన!! | Spiritual Warfare Series | Apo Dr Ranjeet Ophir || 23-May-2026
7dKiebEXIvM,channel,17-May-2026 | Sunday Service | First Message | Central Church | Apostle Dr AS Ranjith Ophir
MpwyYYti8Mo,channel,17-May-2026 | Sunday Service | Second Message | Central Church | Apostle Dr. AS Ranjith Ophir
z9Kh1eK1khM,channel,#ksm : 273: Ksheerasagara Madhanam क्षीरसागर मंथन #QandA Ranjith Ophir l Mark Babu 16-05-2026
4GthakEzLTE,channel,13-May-2026 | Church Inauguration Ceremony | Ps Vijay kumar | Tallapally | Apostle Dr Ranjeet Ophir
Too0zbPw2u4,channel,21-Apr-2026 | Memorial Service of Bro Sai Prabath Eluri | Central Church | Apo Dr AS Ranjeet ophir
ZGIn4XHJhmM,channel,10-May-2026 | Sunday Service | Second Message | Central Church | Apostle Dr. AS Ranjith Ophir
ZCHZTI2FX_g,channel,10-May-2026 | Sunday Service | First Message | Malkajgiri | Apostle Dr. AS Ranjith Ophir
HhbYtWqybZ0,channel,#ksm : 272: Ksheerasagara Madhanam क्षीरसागर मंथन #QandA Ranjith Ophir l Mark Babu 09-05-2026
gP_JZKw0RfU,channel,05-May-2026 | దళిత క్రైస్తవ సమైక్య మహాసభ ! గుంటూరు !  Dr AS Ranjith Ophir
ZBk_YvUkRdQ,channel,"05-May-2026 | ఆంధ్రప్రదేశ్ అగాపే అభిషిక్త సేవకుల సదస్సు, గుంటూరు | Apostle Dr AS Ranjith Ophir"
4KId3mZATlQ,channel,03-May-2026 | Sunday Service | Second Message | Central Church | Apostle Dr AS Ranjith Ophir
YTvLS8u3_d4,channel,03-May-2026 | Sunday Service | Second Message | Central Church | Apostle Dr AS Ranjith Ophir
s--ob_ERJYQ,channel,02-May-2026Retirement Occasions of Sikhinam Shalemu Raju
sTpflHa-CTI,channel,Venkatesh (John Peter) weds Anuradha | Wedding Ceremony | Ophir Ministries | 01-May-2026
Cx-mu1-POU4,channel,Venkatesh (John Peter) weds Anuradha | Wedding Ceremony | Ophir Ministries | 01-May-2026
Qpq7wrzH-xs,channel,Venkatesh (John Peter) weds Anuradha | Wedding Ceremony | Ophir Ministries | 01-May-2026
DqQH4Nn5qQg,channel,Dr Ranjith Ophir's Oath Taking Ceremony as State Chairman Telangana - Rashtriya Udyog Bharat 30-4-26
DosbcpaQ_RE,channel,26-Apr-2026 | Sunday Service | First Message | Malkajgiri Church | Apostle Dr AS Ranjith Ophir
Ll-iiFX8xeA,channel,26-Apr-2026 | Sunday Service | Second Message | Central Church | Apostle Dr AS Ranjith Ophir
